State,City,Received,Approved,Denied,Pending,Category,Year,Quarter,Start_date,End_date
Alabama,Montgomery,454,775,182,"1,647",Family,2019,2,01-01-2019,03-31-2019
Alaska,Anchorage,118,132,16,399,Family,2019,2,01-01-2019,03-31-2019
Arizona,Phoenix,926,796,168,"6,645",Family,2019,2,01-01-2019,03-31-2019
Arizona,Tucson,326,608,46,898,Family,2019,2,01-01-2019,03-31-2019
Arkansas,Fort Smith,159,257,18,622,Family,2019,2,01-01-2019,03-31-2019
California,Chula Vista,0,0,0,0,Family,2019,2,01-01-2019,03-31-2019
California,Fresno,686,"1,102",145,"1,869",Family,2019,2,01-01-2019,03-31-2019
California,Imperial,111,174,16,297,Family,2019,2,01-01-2019,03-31-2019
California,Los Angeles,"1,655","2,534",316,"8,109",Family,2019,2,01-01-2019,03-31-2019
California,Los Angeles County,"1,484","2,079",301,"7,192",Family,2019,2,01-01-2019,03-31-2019
California,Sacramento,779,992,100,"2,916",Family,2019,2,01-01-2019,03-31-2019
California,San Bernardino,"1,425","2,818",369,"3,829",Family,2019,2,01-01-2019,03-31-2019
California,San Diego,"1,041","1,295",156,"2,937",Family,2019,2,01-01-2019,03-31-2019
California,San Fernando Valley,993,"1,055",266,"6,626",Family,2019,2,01-01-2019,03-31-2019
California,San Francisco,"1,672","1,486",141,"11,860",Family,2019,2,01-01-2019,03-31-2019
California,San Jose,881,"1,402",127,"4,527",Family,2019,2,01-01-2019,03-31-2019
California,Santa Ana,"1,140","1,414",249,"6,044",Family,2019,2,01-01-2019,03-31-2019
Colorado,Denver,992,"1,380",208,"3,337",Family,2019,2,01-01-2019,03-31-2019
Connecticut,Hartford,779,587,125,"3,681",Family,2019,2,01-01-2019,03-31-2019
Delaware,Dover,0,0,0,0,Family,2019,2,01-01-2019,03-31-2019
District Of Columbia,Washington,"1,311","1,559",149,"5,238",Family,2019,2,01-01-2019,03-31-2019
Florida,Hialeah,644,"1,535",160,"2,323",Family,2019,2,01-01-2019,03-31-2019
Florida,Jacksonville,457,515,88,"1,202",Family,2019,2,01-01-2019,03-31-2019
Florida,Kendall,619,"1,030",136,"2,421",Family,2019,2,01-01-2019,03-31-2019
Florida,Miami,"1,002",258,119,"10,159",Family,2019,2,01-01-2019,03-31-2019
Florida,Fort Myers,395,358,86,"2,430",Family,2019,2,01-01-2019,03-31-2019
Florida,Oakland Park,"1,331","1,618",297,"9,966",Family,2019,2,01-01-2019,03-31-2019
Florida,Orlando,"1,373","1,729",304,"6,291",Family,2019,2,01-01-2019,03-31-2019
Florida,Tampa,"1,052","1,201",199,"2,941",Family,2019,2,01-01-2019,03-31-2019
Florida,West Palm Beach,"1,057","1,656",260,"3,764",Family,2019,2,01-01-2019,03-31-2019
Georgia,Atlanta,"1,951","2,125",302,"10,109",Family,2019,2,01-01-2019,03-31-2019
Hawaii,Honolulu,282,270,56,"1,169",Family,2019,2,01-01-2019,03-31-2019
Idaho,Boise,188,461,49,662,Family,2019,2,01-01-2019,03-31-2019
Illinois,Chicago,"2,811","3,670",534,"13,754",Family,2019,2,01-01-2019,03-31-2019
Indiana,Indianapolis,645,544,94,"2,064",Family,2019,2,01-01-2019,03-31-2019
Iowa,Des Moines,225,392,47,816,Family,2019,2,01-01-2019,03-31-2019
Kansas,Wichita,159,268,20,643,Family,2019,2,01-01-2019,03-31-2019
Kentucky,Louisville,254,339,46,834,Family,2019,2,01-01-2019,03-31-2019
Louisiana,New Orleans,381,537,59,"1,830",Family,2019,2,01-01-2019,03-31-2019
Maine,Portland,92,69,nan,285,Family,2019,2,01-01-2019,03-31-2019
Maryland,Baltimore,"1,566","1,996",300,"9,604",Family,2019,2,01-01-2019,03-31-2019
Massachusetts,Boston,"1,836","1,578",315,"5,202",Family,2019,2,01-01-2019,03-31-2019
Massachusetts,Lawrence,615,786,167,"2,111",Family,2019,2,01-01-2019,03-31-2019
Michigan,Detroit,828,"1,084",110,"2,357",Family,2019,2,01-01-2019,03-31-2019
Minnesota,St. Paul,802,"1,019",152,"4,538",Family,2019,2,01-01-2019,03-31-2019
Missouri,Kansas City,431,556,75,"1,185",Family,2019,2,01-01-2019,03-31-2019
Missouri,St. Louis,266,307,28,999,Family,2019,2,01-01-2019,03-31-2019
Montana,Helena,57,386,45,353,Family,2019,2,01-01-2019,03-31-2019
Nebraska,Omaha,240,240,61,820,Family,2019,2,01-01-2019,03-31-2019
Nevada,Las Vegas,739,"1,025",169,"3,863",Family,2019,2,01-01-2019,03-31-2019
Nevada,Reno,167,323,31,583,Family,2019,2,01-01-2019,03-31-2019
New Hampshire,Manchester,144,157,19,334,Family,2019,2,01-01-2019,03-31-2019
New Jersey,Mount Laurel,651,995,154,"2,711",Family,2019,2,01-01-2019,03-31-2019
New Jersey,Newark,"2,888","3,111",626,"13,055",Family,2019,2,01-01-2019,03-31-2019
New Mexico,Albuquerque,187,477,29,834,Family,2019,2,01-01-2019,03-31-2019
New York,Albany,107,147,15,488,Family,2019,2,01-01-2019,03-31-2019
New York,Brooklyn,"1,683","1,835",311,"13,020",Family,2019,2,01-01-2019,03-31-2019
New York,Buffalo,303,539,81,891,Family,2019,2,01-01-2019,03-31-2019
New York,Long Island,"1,296","1,470",216,"5,608",Family,2019,2,01-01-2019,03-31-2019
New York,New York,"2,728","2,205",467,"21,777",Family,2019,2,01-01-2019,03-31-2019
New York,Queens,"2,041","3,561",538,"9,818",Family,2019,2,01-01-2019,03-31-2019
North Carolina,Charlotte,675,673,71,"2,162",Family,2019,2,01-01-2019,03-31-2019
North Carolina,Raleigh,743,890,102,"1,996",Family,2019,2,01-01-2019,03-31-2019
Ohio,Cincinnati,238,408,50,678,Family,2019,2,01-01-2019,03-31-2019
Ohio,Cleveland,349,323,48,810,Family,2019,2,01-01-2019,03-31-2019
Ohio,Columbus,322,379,75,842,Family,2019,2,01-01-2019,03-31-2019
Oklahoma,Oklahoma City,406,484,57,"1,134",Family,2019,2,01-01-2019,03-31-2019
Oregon,Portland,572,752,67,"1,943",Family,2019,2,01-01-2019,03-31-2019
Pennsylvania,Philadelphia,"1,510","1,814",306,"7,601",Family,2019,2,01-01-2019,03-31-2019
Pennsylvania,Pittsburgh,245,417,42,769,Family,2019,2,01-01-2019,03-31-2019
Rhode Island,Providence,236,563,69,"1,232",Family,2019,2,01-01-2019,03-31-2019
South Carolina,Charleston,294,426,128,"1,197",Family,2019,2,01-01-2019,03-31-2019
South Carolina,Greer,155,243,59,537,Family,2019,2,01-01-2019,03-31-2019
Tennessee,Memphis,245,310,56,704,Family,2019,2,01-01-2019,03-31-2019
Tennessee,Nashville,438,673,38,"1,753",Family,2019,2,01-01-2019,03-31-2019
Texas,Dallas,"2,675","4,889",698,"16,654",Family,2019,2,01-01-2019,03-31-2019
Texas,El Paso,667,965,108,"1,921",Family,2019,2,01-01-2019,03-31-2019
Texas,Harlingen,501,940,87,"1,759",Family,2019,2,01-01-2019,03-31-2019
Texas,Houston,"2,831","4,272",775,"19,116",Family,2019,2,01-01-2019,03-31-2019
Texas,San Antonio,"1,390","2,530",218,"4,058",Family,2019,2,01-01-2019,03-31-2019
Utah,Salt Lake City,661,443,61,"3,561",Family,2019,2,01-01-2019,03-31-2019
Vermont,St. Albans,55,88,16,191,Family,2019,2,01-01-2019,03-31-2019
Virginia,Norfolk,463,540,87,"1,853",Family,2019,2,01-01-2019,03-31-2019
Washington,Seattle,"1,057","1,533",160,"6,303",Family,2019,2,01-01-2019,03-31-2019
Washington,Spokane,97,129,16,278,Family,2019,2,01-01-2019,03-31-2019
Washington,Yakima,135,240,16,523,Family,2019,2,01-01-2019,03-31-2019
West Virginia,Charleston,0,0,0,0,Family,2019,2,01-01-2019,03-31-2019
Wisconsin,Milwaukee,374,844,57,"1,650",Family,2019,2,01-01-2019,03-31-2019
Guam,Agana,176,112,nan,529,Family,2019,2,01-01-2019,03-31-2019
U.S. Virgin Islands,Charlotte Amalie,28,77,15,171,Family,2019,2,01-01-2019,03-31-2019
U.S. Virgin Islands,Christiansted,nan,0,nan,27,Family,2019,2,01-01-2019,03-31-2019
Puerto Rico,San Juan,125,121,31,701,Family,2019,2,01-01-2019,03-31-2019
Service Center,California,0,nan,0,211,Family,2019,2,01-01-2019,03-31-2019
Service Center,National Benefits Center,0,0,0,0,Family,2019,2,01-01-2019,03-31-2019
Service Center,Nebraska,10,nan,0,nan,Family,2019,2,01-01-2019,03-31-2019
Service Center,Potomac,0,0,0,0,Family,2019,2,01-01-2019,03-31-2019
Service Center,Texas,nan,13,nan,58,Family,2019,2,01-01-2019,03-31-2019
Alabama,Montgomery,547,589,136,"2,088",Family,2019,1,10-01-2019,12-31-2019
Alaska,Anchorage,135,88,10,354,Family,2019,1,10-01-2019,12-31-2019
Arizona,Phoenix,"1,130",849,119,"6,566",Family,2019,1,10-01-2019,12-31-2019
Arizona,Tucson,366,411,35,"1,318",Family,2019,1,10-01-2019,12-31-2019
Arkansas,Fort Smith,137,169,26,619,Family,2019,1,10-01-2019,12-31-2019
California,Chula Vista,0,0,0,0,Family,2019,1,10-01-2019,12-31-2019
California,Fresno,804,948,129,"2,388",Family,2019,1,10-01-2019,12-31-2019
California,Imperial,151,199,10,377,Family,2019,1,10-01-2019,12-31-2019
California,Los Angeles,"1,907","1,638",479,"8,846",Family,2019,1,10-01-2019,12-31-2019
California,Los Angeles County,"1,687","1,411",398,"8,400",Family,2019,1,10-01-2019,12-31-2019
California,Sacramento,927,"1,222",111,"3,196",Family,2019,1,10-01-2019,12-31-2019
California,San Bernardino,"1,588","2,398",417,"4,841",Family,2019,1,10-01-2019,12-31-2019
California,San Diego,"1,208","1,735",111,"3,297",Family,2019,1,10-01-2019,12-31-2019
California,San Fernando Valley,"1,201",960,157,"7,055",Family,2019,1,10-01-2019,12-31-2019
California,San Francisco,"1,943",856,128,"12,270",Family,2019,1,10-01-2019,12-31-2019
California,San Jose,"1,150",962,96,"4,605",Family,2019,1,10-01-2019,12-31-2019
California,Santa Ana,"1,331","1,011",260,"6,921",Family,2019,1,10-01-2019,12-31-2019
Colorado,Denver,"1,159","1,335",194,"4,155",Family,2019,1,10-01-2019,12-31-2019
Connecticut,Hartford,996,462,116,"3,819",Family,2019,1,10-01-2019,12-31-2019
Delaware,Dover,0,0,0,0,Family,2019,1,10-01-2019,12-31-2019
District Of Columbia,Washington,"1,504","1,706",158,"5,541",Family,2019,1,10-01-2019,12-31-2019
Florida,Hialeah,775,961,102,"2,899",Family,2019,1,10-01-2019,12-31-2019
Florida,Jacksonville,556,519,80,"1,344",Family,2019,1,10-01-2019,12-31-2019
Florida,Kendall,664,780,90,"2,788",Family,2019,1,10-01-2019,12-31-2019
Florida,Miami,"1,264",263,119,"10,016",Family,2019,1,10-01-2019,12-31-2019
Florida,Fort Myers,469,263,67,"2,473",Family,2019,1,10-01-2019,12-31-2019
Florida,Oakland Park,"1,577",885,240,"10,806",Family,2019,1,10-01-2019,12-31-2019
Florida,Orlando,"1,537","1,575",313,"6,860",Family,2019,1,10-01-2019,12-31-2019
Florida,Tampa,"1,163",995,144,"3,217",Family,2019,1,10-01-2019,12-31-2019
Florida,West Palm Beach,"1,175","1,233",272,"4,486",Family,2019,1,10-01-2019,12-31-2019
Georgia,Atlanta,"2,121","1,773",287,"10,783",Family,2019,1,10-01-2019,12-31-2019
Hawaii,Honolulu,331,328,59,"1,192",Family,2019,1,10-01-2019,12-31-2019
Idaho,Boise,211,467,48,684,Family,2019,1,10-01-2019,12-31-2019
Illinois,Chicago,"3,264","2,037",337,"15,497",Family,2019,1,10-01-2019,12-31-2019
Indiana,Indianapolis,636,520,68,"2,024",Family,2019,1,10-01-2019,12-31-2019
Iowa,Des Moines,204,249,35,932,Family,2019,1,10-01-2019,12-31-2019
Kansas,Wichita,218,217,13,749,Family,2019,1,10-01-2019,12-31-2019
Kentucky,Louisville,289,215,55,936,Family,2019,1,10-01-2019,12-31-2019
Louisiana,New Orleans,481,697,70,"2,147",Family,2019,1,10-01-2019,12-31-2019
Maine,Portland,130,81,13,265,Family,2019,1,10-01-2019,12-31-2019
Maryland,Baltimore,"1,794","1,520",144,"10,363",Family,2019,1,10-01-2019,12-31-2019
Massachusetts,Boston,"2,096","1,309",264,"5,798",Family,2019,1,10-01-2019,12-31-2019
Massachusetts,Lawrence,678,535,123,"2,372",Family,2019,1,10-01-2019,12-31-2019
Michigan,Detroit,"1,045","1,010",123,"2,348",Family,2019,1,10-01-2019,12-31-2019
Minnesota,St. Paul,964,604,127,"5,186",Family,2019,1,10-01-2019,12-31-2019
Missouri,Kansas City,524,484,56,"1,201",Family,2019,1,10-01-2019,12-31-2019
Missouri,St. Louis,292,299,42,904,Family,2019,1,10-01-2019,12-31-2019
Montana,Helena,76,384,27,374,Family,2019,1,10-01-2019,12-31-2019
Nebraska,Omaha,261,229,74,774,Family,2019,1,10-01-2019,12-31-2019
Nevada,Las Vegas,809,745,155,"4,466",Family,2019,1,10-01-2019,12-31-2019
Nevada,Reno,159,210,25,542,Family,2019,1,10-01-2019,12-31-2019
New Hampshire,Manchester,168,149,nan,356,Family,2019,1,10-01-2019,12-31-2019
New Jersey,Mount Laurel,727,673,99,"2,970",Family,2019,1,10-01-2019,12-31-2019
New Jersey,Newark,"3,478","2,559",666,"14,044",Family,2019,1,10-01-2019,12-31-2019
New Mexico,Albuquerque,288,342,33,748,Family,2019,1,10-01-2019,12-31-2019
New York,Albany,163,60,nan,539,Family,2019,1,10-01-2019,12-31-2019
New York,Brooklyn,"2,016","1,113",262,"13,219",Family,2019,1,10-01-2019,12-31-2019
New York,Buffalo,310,215,51,876,Family,2019,1,10-01-2019,12-31-2019
New York,Long Island,"1,423",924,281,"5,934",Family,2019,1,10-01-2019,12-31-2019
New York,New York,"2,891","1,532",558,"21,654",Family,2019,1,10-01-2019,12-31-2019
New York,Queens,"2,490","3,077",416,"11,821",Family,2019,1,10-01-2019,12-31-2019
North Carolina,Charlotte,751,766,100,"2,206",Family,2019,1,10-01-2019,12-31-2019
North Carolina,Raleigh,744,502,48,"2,172",Family,2019,1,10-01-2019,12-31-2019
Ohio,Cincinnati,293,229,36,752,Family,2019,1,10-01-2019,12-31-2019
Ohio,Cleveland,354,333,60,840,Family,2019,1,10-01-2019,12-31-2019
Ohio,Columbus,392,421,60,939,Family,2019,1,10-01-2019,12-31-2019
Oklahoma,Oklahoma City,541,486,59,"1,160",Family,2019,1,10-01-2019,12-31-2019
Oregon,Portland,743,563,40,"2,194",Family,2019,1,10-01-2019,12-31-2019
Pennsylvania,Philadelphia,"1,689","1,146",234,"8,181",Family,2019,1,10-01-2019,12-31-2019
Pennsylvania,Pittsburgh,285,199,19,961,Family,2019,1,10-01-2019,12-31-2019
Rhode Island,Providence,293,476,65,"1,049",Family,2019,1,10-01-2019,12-31-2019
South Carolina,Charleston,340,366,124,"1,360",Family,2019,1,10-01-2019,12-31-2019
South Carolina,Greer,200,271,51,591,Family,2019,1,10-01-2019,12-31-2019
Tennessee,Memphis,287,441,55,787,Family,2019,1,10-01-2019,12-31-2019
Tennessee,Nashville,489,408,43,"1,938",Family,2019,1,10-01-2019,12-31-2019
Texas,Dallas,"3,125","2,211",456,"19,306",Family,2019,1,10-01-2019,12-31-2019
Texas,El Paso,669,983,114,"2,280",Family,2019,1,10-01-2019,12-31-2019
Texas,Harlingen,645,745,133,"2,244",Family,2019,1,10-01-2019,12-31-2019
Texas,Houston,"3,195","3,402",506,"20,966",Family,2019,1,10-01-2019,12-31-2019
Texas,San Antonio,"2,135","1,664",205,"5,561",Family,2019,1,10-01-2019,12-31-2019
Utah,Salt Lake City,711,499,54,"3,646",Family,2019,1,10-01-2019,12-31-2019
Vermont,St. Albans,59,179,16,297,Family,2019,1,10-01-2019,12-31-2019
Virginia,Norfolk,548,525,60,"2,001",Family,2019,1,10-01-2019,12-31-2019
Washington,Seattle,"1,303",744,92,"7,033",Family,2019,1,10-01-2019,12-31-2019
Washington,Spokane,106,92,19,274,Family,2019,1,10-01-2019,12-31-2019
Washington,Yakima,215,219,21,529,Family,2019,1,10-01-2019,12-31-2019
West Virginia,Charleston,0,0,0,0,Family,2019,1,10-01-2019,12-31-2019
Wisconsin,Milwaukee,498,472,56,"2,221",Family,2019,1,10-01-2019,12-31-2019
Guam,Agana,164,173,16,473,Family,2019,1,10-01-2019,12-31-2019
U.S. Virgin Islands,Charlotte Amalie,24,54,nan,152,Family,2019,1,10-01-2019,12-31-2019
U.S. Virgin Islands,Christiansted,10,0,0,42,Family,2019,1,10-01-2019,12-31-2019
Puerto Rico,San Juan,156,79,13,735,Family,2019,1,10-01-2019,12-31-2019
Service Center,California,0,nan,0,213,Family,2019,1,10-01-2019,12-31-2019
Service Center,National Benefits Center,0,0,0,0,Family,2019,1,10-01-2019,12-31-2019
Service Center,Nebraska,nan,0,0,nan,Family,2019,1,10-01-2019,12-31-2019
Service Center,Potomac,0,0,0,0,Family,2019,1,10-01-2019,12-31-2019
Service Center,Texas,0,0,0,59,Family,2019,1,10-01-2019,12-31-2019
Alabama,Montgomery,510,899,138,"2,245",Family,2018,4,07-01-2018,9-30-2018
Alaska,Anchorage,108,139,13,312,Family,2018,4,07-01-2018,9-30-2018
Arizona,Phoenix,"1,176",783,133,"6,634",Family,2018,4,07-01-2018,9-30-2018
Arizona,Tucson,372,521,38,"1,356",Family,2018,4,07-01-2018,9-30-2018
Arkansas,Fort Smith,167,179,38,653,Family,2018,4,07-01-2018,9-30-2018
California,Chula Vista,0,0,0,0,Family,2018,4,07-01-2018,9-30-2018
California,Fresno,911,"1,036",120,"2,636",Family,2018,4,07-01-2018,9-30-2018
California,Imperial,87,112,nan,172,Family,2018,4,07-01-2018,9-30-2018
California,Los Angeles,"1,967",558,202,"8,771",Family,2018,4,07-01-2018,9-30-2018
California,Los Angeles County,"1,949","1,416",425,"8,385",Family,2018,4,07-01-2018,9-30-2018
California,Sacramento,"1,003",967,82,"3,549",Family,2018,4,07-01-2018,9-30-2018
California,San Bernardino,"1,711","2,226",294,"5,799",Family,2018,4,07-01-2018,9-30-2018
California,San Diego,"1,339","1,452",144,"3,484",Family,2018,4,07-01-2018,9-30-2018
California,San Fernando Valley,"1,190",803,170,"6,925",Family,2018,4,07-01-2018,9-30-2018
California,San Francisco,"2,023","1,060",123,"11,504",Family,2018,4,07-01-2018,9-30-2018
California,San Jose,"1,133","1,220",111,"4,296",Family,2018,4,07-01-2018,9-30-2018
California,Santa Ana,"1,408",821,210,"6,950",Family,2018,4,07-01-2018,9-30-2018
Colorado,Denver,"1,134","1,169",163,"4,713",Family,2018,4,07-01-2018,9-30-2018
Connecticut,Hartford,840,774,149,"3,564",Family,2018,4,07-01-2018,9-30-2018
Delaware,Dover,0,0,0,0,Family,2018,4,07-01-2018,9-30-2018
District Of Columbia,Washington,"1,411","1,801",200,"5,869",Family,2018,4,07-01-2018,9-30-2018
Florida,Hialeah,734,"1,009",136,"3,024",Family,2018,4,07-01-2018,9-30-2018
Florida,Jacksonville,548,607,72,"1,382",Family,2018,4,07-01-2018,9-30-2018
Florida,Kendall,684,434,83,"2,956",Family,2018,4,07-01-2018,9-30-2018
Florida,Miami,"1,209",308,122,"9,151",Family,2018,4,07-01-2018,9-30-2018
Florida,Fort Myers,474,344,53,"2,329",Family,2018,4,07-01-2018,9-30-2018
Florida,Oakland Park,"1,466",550,180,"10,385",Family,2018,4,07-01-2018,9-30-2018
Florida,Orlando,"1,469","1,582",274,"7,149",Family,2018,4,07-01-2018,9-30-2018
Florida,Tampa,"1,145","1,332",222,"3,095",Family,2018,4,07-01-2018,9-30-2018
Florida,West Palm Beach,"1,138","1,342",210,"4,702",Family,2018,4,07-01-2018,9-30-2018
Georgia,Atlanta,"2,059","1,606",297,"11,632",Family,2018,4,07-01-2018,9-30-2018
Hawaii,Honolulu,319,466,61,"1,105",Family,2018,4,07-01-2018,9-30-2018
Idaho,Boise,165,487,34,726,Family,2018,4,07-01-2018,9-30-2018
Illinois,Chicago,"3,094","2,766",295,"14,499",Family,2018,4,07-01-2018,9-30-2018
Indiana,Indianapolis,639,523,96,"1,938",Family,2018,4,07-01-2018,9-30-2018
Iowa,Des Moines,226,153,22,978,Family,2018,4,07-01-2018,9-30-2018
Kansas,Wichita,199,144,11,657,Family,2018,4,07-01-2018,9-30-2018
Kentucky,Louisville,288,341,43,889,Family,2018,4,07-01-2018,9-30-2018
Louisiana,New Orleans,420,466,55,"2,309",Family,2018,4,07-01-2018,9-30-2018
Maine,Portland,101,87,20,222,Family,2018,4,07-01-2018,9-30-2018
Maryland,Baltimore,"1,676","1,439",127,"10,122",Family,2018,4,07-01-2018,9-30-2018
Massachusetts,Boston,"1,858","2,410",282,"5,589",Family,2018,4,07-01-2018,9-30-2018
Massachusetts,Lawrence,660,571,146,"2,313",Family,2018,4,07-01-2018,9-30-2018
Michigan,Detroit,860,"1,159",139,"2,375",Family,2018,4,07-01-2018,9-30-2018
Minnesota,St. Paul,878,646,124,"5,041",Family,2018,4,07-01-2018,9-30-2018
Missouri,Kansas City,461,539,84,"1,069",Family,2018,4,07-01-2018,9-30-2018
Missouri,St. Louis,272,199,20,930,Family,2018,4,07-01-2018,9-30-2018
Montana,Helena,57,263,31,513,Family,2018,4,07-01-2018,9-30-2018
Nebraska,Omaha,242,376,56,794,Family,2018,4,07-01-2018,9-30-2018
Nevada,Las Vegas,862,437,111,"4,533",Family,2018,4,07-01-2018,9-30-2018
Nevada,Reno,146,150,19,509,Family,2018,4,07-01-2018,9-30-2018
New Hampshire,Manchester,147,190,20,344,Family,2018,4,07-01-2018,9-30-2018
New Jersey,Mount Laurel,647,715,121,"2,922",Family,2018,4,07-01-2018,9-30-2018
New Jersey,Newark,"3,352","3,000",596,"13,586",Family,2018,4,07-01-2018,9-30-2018
New Mexico,Albuquerque,300,426,22,773,Family,2018,4,07-01-2018,9-30-2018
New York,Albany,130,135,22,464,Family,2018,4,07-01-2018,9-30-2018
New York,Brooklyn,"2,061","1,091",381,"14,296",Family,2018,4,07-01-2018,9-30-2018
New York,Buffalo,289,410,43,760,Family,2018,4,07-01-2018,9-30-2018
New York,Long Island,"1,129","1,681",288,"4,598",Family,2018,4,07-01-2018,9-30-2018
New York,New York,"2,799","1,461",477,"20,902",Family,2018,4,07-01-2018,9-30-2018
New York,Queens,"2,272","2,588",334,"12,040",Family,2018,4,07-01-2018,9-30-2018
North Carolina,Charlotte,745,861,99,"2,293",Family,2018,4,07-01-2018,9-30-2018
North Carolina,Raleigh,757,"1,019",127,"1,786",Family,2018,4,07-01-2018,9-30-2018
Ohio,Cincinnati,281,336,31,717,Family,2018,4,07-01-2018,9-30-2018
Ohio,Cleveland,362,405,55,864,Family,2018,4,07-01-2018,9-30-2018
Ohio,Columbus,356,323,60,"1,021",Family,2018,4,07-01-2018,9-30-2018
Oklahoma,Oklahoma City,525,684,67,"1,218",Family,2018,4,07-01-2018,9-30-2018
Oregon,Portland,658,650,56,"2,035",Family,2018,4,07-01-2018,9-30-2018
Pennsylvania,Philadelphia,"1,645","1,031",280,"7,806",Family,2018,4,07-01-2018,9-30-2018
Pennsylvania,Pittsburgh,247,173,22,879,Family,2018,4,07-01-2018,9-30-2018
